City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Jacareacanga,BR,-6.2222,-57.7528,70.68,99,51,0.58,broken clouds
302,Santiago De Chuco,PE,-8.15,-78.1833,50.2,83,100,1.21,overcast clouds
303,Gouyave,GD,12.1646,-61.7296,77.77,89,75,17.27,light rain
304,Chunskiy,RU,56.0815,99.6342,-4.56,92,100,12.59,light snow
305,Verkhoyansk,RU,67.5447,133.385,-37.19,99,88,2.08,overcast clouds
306,Kharp,RU,66.8014,65.8081,11.82,89,100,7.9,overcast clouds
307,Eureka,US,40.8021,-124.1637,49.24,94,87,1.32,overcast clouds
308,Nguru,NG,12.8791,10.4526,67.78,26,45,8.86,scattered clouds
309,Merke,KZ,42.8728,73.1786,37.74,47,100,5.68,overcast clouds
310,Tasiilaq,GL,65.6145,-37.6368,24.96,57,9,6.85,clear sky
311,Salekhard,RU,66.53,66.6019,7.79,90,100,6.55,overcast clouds
312,Wahpeton,US,46.2652,-96.6059,29.93,93,0,14.97,clear sky
313,Valparaiso,CL,-33.0393,-71.6273,60.48,100,100,2.3,overcast clouds
314,Lorengau,PG,-2.0226,147.2712,83.64,71,100,6.98,overcast clouds
315,Quirinopolis,BR,-18.4483,-50.4517,73.31,59,14,2.93,few clouds
316,Saint Anthony,US,45.0205,-93.218,28.71,84,0,5.75,clear sky
317,Raisio,FI,60.4859,22.169,33.08,93,100,5.75,overcast clouds
318,Sumbe,AO,-11.2061,13.8437,77.43,79,92,5.66,overcast clouds
319,Shimoda,JP,34.6667,138.95,61.16,87,100,3.6,overcast clouds
320,Fuengirola,ES,36.54,-4.6247,59.85,45,20,14.97,few clouds
321,Tessalit,ML,20.1986,1.0114,65.91,28,100,7.74,overcast clouds
322,Muzhi,RU,65.3667,64.6667,6.53,90,100,5.1,overcast clouds
323,Kavieng,PG,-2.5744,150.7967,84.4,66,88,8.66,overcast clouds
324,Arlit,NE,18.7369,7.3853,69.8,21,100,4.72,overcast clouds
325,San Rafael Del Sur,NI,11.8485,-86.4384,73.99,89,100,3.83,overcast clouds
326,Narasannapeta,IN,18.4167,84.05,80.37,40,22,5.01,few clouds
327,Lima Duarte,BR,-21.8425,-43.7931,64.53,97,98,1.3,overcast clouds
328,Leningradskiy,RU,69.3833,178.4167,2.97,87,100,4.85,overcast clouds
329,Slave Lake,CA,55.2834,-114.769,13.98,79,100,14.97,light snow
330,Kuching,MY,1.55,110.3333,84.13,88,40,5.75,scattered clouds
331,Cayenne,GF,4.9333,-52.3333,73.44,100,100,0.0,mist
332,Huilong,CN,31.8111,121.655,68.94,99,100,2.13,light rain
333,Salalah,OM,17.0151,54.0924,85.98,30,96,2.98,overcast clouds
334,Tamworth,GB,52.634,-1.6959,43.83,96,37,1.99,scattered clouds
335,Lins,BR,-21.6786,-49.7425,65.82,84,29,9.19,scattered clouds
336,Riyadh,SA,24.6877,46.7219,77.14,25,0,5.55,clear sky
337,Kawalu,ID,-7.3817,108.2082,78.51,84,97,4.5,light rain
338,Irondequoit,US,43.2134,-77.5797,41.25,94,100,13.8,mist
339,Abonnema,NG,4.7084,6.7931,77.29,77,100,4.16,overcast clouds
340,Kodinsk,RU,58.6881,99.1844,-6.68,95,100,9.08,light snow
341,Limoux,FR,42.9167,2.1667,45.7,91,100,8.75,light rain
342,Lufilufi,WS,-13.8745,-171.5986,76.78,72,27,17.16,scattered clouds
343,Liaozhong,CN,41.5061,122.7242,31.06,88,100,12.66,overcast clouds
344,Qui Nhon,VN,13.7667,109.2333,82.09,78,23,7.74,few clouds
345,Katsuura,JP,35.1333,140.3,63.09,75,100,13.42,overcast clouds
346,Ruza,RU,55.699,36.1952,24.22,93,100,8.46,overcast clouds
347,Alofi,NU,-19.0595,-169.9187,76.89,78,75,9.22,broken clouds
348,Baoqing,CN,46.3317,132.2111,19.2,75,100,3.65,overcast clouds
349,Mahebourg,MU,-20.4081,57.7,80.89,61,40,12.66,scattered clouds
350,Krasnoselkup,RU,65.7,82.4667,-2.99,98,92,8.05,overcast clouds
351,Itaituba,BR,-4.2761,-55.9836,71.22,96,90,0.2,overcast clouds
352,Caraballeda,VE,10.6112,-66.8522,80.67,91,40,2.3,scattered clouds
353,Kenai,US,60.5544,-151.2583,15.15,79,0,0.0,clear sky
354,Kangaatsiaq,GL,68.3065,-53.4641,18.18,83,100,12.26,overcast clouds
355,Martil,MA,35.6166,-5.2752,60.76,72,20,16.11,few clouds
356,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,94,40,29.89,scattered clouds
357,Garmsar,IR,35.2182,52.3409,60.08,33,49,4.14,scattered clouds
358,Klaksvik,FO,62.2266,-6.589,47.32,88,14,18.28,few clouds
359,Guerrero Negro,MX,27.9769,-114.0611,60.67,74,0,7.09,clear sky
360,Ilulissat,GL,69.2167,-51.1,14.02,73,99,0.0,overcast clouds
361,Kostivere,EE,59.427,25.0962,28.58,88,100,4.61,overcast clouds
362,Margate,GB,51.3813,1.3862,46.69,98,100,9.71,overcast clouds
363,Arman,RU,59.7,150.1667,4.91,99,100,16.96,snow
364,Leon,MX,21.1167,-101.6667,59.04,47,0,1.72,clear sky
365,Tharad,IN,24.3961,71.6267,84.33,14,2,1.61,clear sky
366,Teguise,ES,29.0605,-13.564,66.42,78,20,19.57,few clouds
367,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,5.75,light snow
368,Xai-Xai,MZ,-25.0519,33.6442,75.29,81,100,17.58,light rain
369,Barcelos,PT,41.5388,-8.6151,48.92,83,100,3.0,overcast clouds
